"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)","-0.5068","-2.5229","1.6376","1000.0000","0.6160"
"dist2","-0.2256","-0.2617","-0.1933","713.6856","0.0010"
"Cross_PloidHeteroploid","-0.7642","-1.0498","-0.4667","1204.4590","0.0010"
"Hectads_shared","0.0008","0.0006","0.0011","1000.0000","0.0010"
"Annual_Perenniala-p","-0.5994","-1.7460","0.3965","1000.0000","0.2760"
"Annual_Perennialp-p","0.5483","-0.5451","1.8380","1000.0000","0.3880"
"Genus.Size","-0.0176","-0.0803","0.0359","1000.0000","0.5660"
