"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)","0.0394","-2.1875","2.2581","1000.0000","0.9800"
"dist2","-74.0760","-86.7272","-63.1272","361.4277","0.0010"
"Cross_PloidHeteroploid","-0.7336","-1.0271","-0.4249","1000.0000","0.0010"
"Hectads_shared","0.0009","0.0006","0.0012","862.2851","0.0010"
"Annual_Perenniala-p","0.0827","-1.1440","1.3165","897.4573","0.8940"
"Annual_Perennialp-p","0.7921","-0.3541","2.1590","889.2417","0.2060"
"Genus.Size","-0.0331","-0.0922","0.0193","1000.0000","0.2560"
