species_or_node,posterior_mean
Sp1.Node1106,0.810463475942741
Sp1.Arum italicum,0.806062162148295
Sp1.Potamogeton natans,0.77699117086043
Sp1.Tilia platyphyllos,0.774038463454884
Sp1.Node1098,0.77026988410308
Sp1.Tilia cordata,0.769762115842411
Sp1.Potamogeton praelongus,0.768176526045827
Sp1.Potamogeton gramineus,0.765343233098197
Sp1.Node62,0.763772313289971
Sp1.Node1097,0.753996967410552
Sp1.Node1088,0.749469855575805
Sp1.Node115,0.743199675782525
Sp1.Rosa caesia,0.743145850699357
Sp1.Node116,0.742776199902458
Sp1.Rosa arvensis,0.742754745638249
Sp1.Rosa tomentella,0.742662433620027
Sp1.Rosa canina,0.742506577493356
Sp1.Rosa stylosa,0.742245655901682
Sp1.Node113,0.741021835202026
Sp1.Node114,0.741018165852308
Sp1.Rosa tomentosa,0.739509866971464
Sp1.Node112,0.7395078747326
Sp1.Rosa micrantha,0.739505212988672
Sp1.Rosa mollis,0.738562257332576
Sp1.Node111,0.738438388211462
Sp1.Node110,0.738420252167241
Sp1.Rosa sherardii,0.738370080555594
Sp1.Rosa agrestis,0.738174564127874
Sp1.Node109,0.737237605211755
Sp1.Node108,0.725846101365214
Sp1.Rosa spinosissima,0.705322121067956
Sp1.Erica tetralix,0.701985601006132
Sp1.Node1050,0.699272973295633
Sp1.Node107,0.689020985216212
Sp1.Potamogeton berchtoldii,0.679034934008889
Sp1.Node1089,0.678982669224642
Sp1.Node1090,0.665860644269464
Sp1.Potamogeton acutifolius,0.661315333474328
Sp1.Potamogeton trichoides,0.660881114031393
Sp1.Node1092,0.657148134489848
Sp1.Node1091,0.657011007686403
Sp1.Node1093,0.648626839561947
Sp1.Node541,0.643932371663187
Sp1.Limosella aquatica,0.643884622617528
Sp1.Limosella australis,0.643753615781187
Sp1.Node1094,0.64063839556732
Sp1.Potamogeton friesii,0.639869166501316
Sp1.Potamogeton obtusifolius,0.635021657281328
Sp1.Potamogeton pusillus,0.630738400289198
Sp1.Node1095,0.630241337400603
Sp1.Potamogeton compressus,0.629640401063581
Sp1.Node730,0.627995756977723
