rn,sdev
(Intercept),1.0112860052926
dist2,0.0128201665766811
Hectads_shared,9.71667704863637e-05
Annual_Perenniala-p,0.429728162572045
Annual_Perennialp-p,0.494683940603557
Genus.Size,0.0197247692031999
