"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)","-1.7811","-3.7091","0.3179","1788.6398","0.0960"
"dist2","-0.2200","-0.2430","-0.1918","415.2790","0.0010"
"Hectads_shared","0.0006","0.0004","0.0008","1000.0000","0.0010"
"Annual_Perenniala-p","-0.4402","-1.2347","0.4001","871.5374","0.2780"
"Annual_Perennialp-p","0.6071","-0.4096","1.5057","1000.0000","0.2080"
"Genus.Size","0.0081","-0.0313","0.0491","1000.0000","0.6940"
