"","post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
"(Intercept)","-1.3346","-3.4610","1.0057","580.1596","0.2160"
"dist2","-59.1825","-66.9301","-51.7323","176.2907","0.0010"
"Hectads_shared","0.0007","0.0005","0.0009","1000.0000","0.0010"
"Annual_Perenniala-p","-0.1061","-0.9478","0.7412","1000.0000","0.8000"
"Annual_Perennialp-p","0.6636","-0.2774","1.6407","1000.0000","0.1720"
"Genus.Size","-0.0012","-0.0363","0.0352","1000.0000","0.9480"
