Taxa,Hybrid_propensity,Genus,Scaled.HP
Epilobium brunnescens,6,Epilobium,7.69230769230769
Euphrasia campbelliae,6,Euphrasia,2.5974025974026
Euphrasia rostkoviana,6,Euphrasia,2.5974025974026
Gymnadenia conopsea,6,Gymnadenia,200
Lolium multiflorum,6,Lolium,100
Narcissus pseudonarcissus,6,Narcissus,28.5714285714286
Potamogeton gramineus,6,Potamogeton,5.71428571428571
Potamogeton natans,6,Potamogeton,5.71428571428571
Rosa agrestis,6,Rosa,6.59340659340659
Rosa mollis,6,Rosa,6.59340659340659
Rosa stylosa,6,Rosa,6.59340659340659
Salix lapponum,6,Salix,3.50877192982456
Sorbus aria,6,Sorbus,9.09090909090909
Dactylorhiza incarnata,7,Dactylorhiza,33.3333333333333
Dactylorhiza praetermissa,7,Dactylorhiza,33.3333333333333
Euphrasia anglica,7,Euphrasia,3.03030303030303
Gymnadenia borealis,7,Gymnadenia,233.333333333333
Ranunculus peltatus,7,Ranunculus,19.4444444444444
Salix cinerea,7,Salix,4.09356725146199
Salix herbacea,7,Salix,4.09356725146199
Salix phylicifolia,7,Salix,4.09356725146199
Salix purpurea,7,Salix,4.09356725146199
Salix viminalis,7,Salix,4.09356725146199
Ulmus minor,7,Ulmus,700
Verbascum thapsus,7,Verbascum,10.6060606060606
Epilobium hirsutum,8,Epilobium,10.2564102564103
Epilobium roseum,8,Epilobium,10.2564102564103
Epilobium tetragonum,8,Epilobium,10.2564102564103
Euphrasia marshallii,8,Euphrasia,3.46320346320346
Rosa micrantha,8,Rosa,8.79120879120879
Rosa spinosissima,8,Rosa,8.79120879120879
Rosa tomentella,8,Rosa,8.79120879120879
Salix caprea,8,Salix,4.67836257309942
Carex viridula,9,Carex,1.35135135135135
Dactylorhiza purpurella,9,Dactylorhiza,42.8571428571429
Epilobium ciliatum,9,Epilobium,11.5384615384615
Epilobium parviflorum,9,Epilobium,11.5384615384615
Euphrasia foulaensis,9,Euphrasia,3.8961038961039
Euphrasia ostenfeldii,9,Euphrasia,3.8961038961039
Rosa arvensis,9,Rosa,9.89010989010989
Salix aurita,9,Salix,5.26315789473684
Dactylorhiza fuchsii,10,Dactylorhiza,47.6190476190476
Dactylorhiza maculata,10,Dactylorhiza,47.6190476190476
Epilobium lanceolatum,10,Epilobium,12.8205128205128
Rosa caesia,10,Rosa,10.989010989011
Rosa sherardii,10,Rosa,10.989010989011
Rosa tomentosa,10,Rosa,10.989010989011
Salix myrsinifolia,10,Salix,5.84795321637427
Salix repens,10,Salix,5.84795321637427
Epilobium montanum,11,Epilobium,14.1025641025641
Epilobium obscurum,11,Epilobium,14.1025641025641
Epilobium palustre,11,Epilobium,14.1025641025641
Euphrasia scottica,11,Euphrasia,4.76190476190476
Euphrasia tetraquetra,11,Euphrasia,4.76190476190476
Rosa rubiginosa,11,Rosa,12.0879120879121
Rumex conglomeratus,11,Rumex,8.08823529411765
Verbascum nigrum,11,Verbascum,16.6666666666667
Rosa canina,12,Rosa,13.1868131868132
Rumex obtusifolius,13,Rumex,9.55882352941176
Euphrasia arctica,14,Euphrasia,6.06060606060606
Euphrasia confusa,14,Euphrasia,6.06060606060606
Euphrasia micrantha,14,Euphrasia,6.06060606060606
Rumex crispus,14,Rumex,10.2941176470588
Euphrasia nemorosa,15,Euphrasia,6.49350649350649
