Stace_4_Species,Plantlist,taxon name,Ploidy,Chromosome_number,Base,AnnPer,ddb id,qualifier,authority,vernacular,accepted name,accepted authority,accepted entity id,verification,taxonContext,canonical,brcConcept,tvk,rank,hybrid,bsbiStatus,Atlas 2000 status,genus,family,childtaxa,childtaxaauth,GB status,IE status,CI status,url,
Aethusa cynapium,Aethusa cynapium,Aethusa cynapium,,,,A,2cd4p9h.4xt,,L.,Fool's Parsley,,,,unchecked,b,Aethusa cynapium,Vas_21,NBNSYS0000003696,species,,N,?N,Aethusa,Apiaceae,Aethusa cynapium subsp. cynapium;Aethusa cynapium subsp. agrestis;Aethusa cynapium subsp. elata;Aethusa cynapium subsp. gigantea,Aethusa cynapium subsp. cynapium L.;Aethusa cynapium subsp. agrestis (Wallr.) Dostál;Aethusa cynapium subsp. elata (Friedl. ex Fisch.) Schübl. & Martens;Aethusa cynapium subsp. gigantea (Lej.) P.D.Sell,native or alien,alien,native or alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.4xt&class=TaxonInstance,
Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,2,28,14,P,2cd4p9h.bwy,,L.,Agrimony,,,,unchecked,b,Agrimonia eupatoria,Vas_22,NBNSYS0000003366,species,,N,N,Agrimonia,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bwy&class=TaxonInstance,
Agrimonia procera,Agrimonia procera,Agrimonia procera,4,56,14,P,2cd4p9h.894,,Wallr.,Fragrant Agrimony,,,,unchecked,b,Agrimonia procera,Vas_23,NBNSYS0000003367,species,,N,N,Agrimonia,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.894&class=TaxonInstance,
Agrostemma githago,Agrostemma githago,Agrostemma githago,,,,A,2cd4p9h.x8w,,L.,Corncockle,,,,unchecked,b,Agrostemma githago,Vas_34,NBNSYS0000003004,species,,A,Ar,Agrostemma,Caryophyllaceae,,,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.x8w&class=TaxonInstance,
Agrostis canina,Agrostis canina,Agrostis canina,,,,P,2cd4p9h.4m7,s.s.,L.,Velvet Bent,,,,confirmed,b,Agrostis canina,Vas_35.2,NHMSYS0000455671,species,,N,N,Agrostis,Poaceae,Agrostis canina subsp. canina,Agrostis canina subsp. canina L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4m7&class=TaxonInstance,
Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,4,28,7,P,2cd4p9h.x8p,,L.,Common Bent,,,,confirmed,b,Agrostis capillaris,Vas_40,NBNSYS0000002638,species,,N,N,Agrostis,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.x8p&class=TaxonInstance,
Agrostis curtisii,Agrostis curtisii,Agrostis curtisii,2,14,7,P,2cd4p9h.4md,,Kerguélen,Bristle Bent,,,,confirmed,b,Agrostis curtisii,Vas_38,NHMSYS0000455680,species,,N,N,Agrostis,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.4md&class=TaxonInstance,
Agrostis gigantea,Agrostis gigantea,Agrostis gigantea,6,42,7,P,2cd4p9h.4ma,,Roth,Black Bent,,,,confirmed,b,Agrostis gigantea,Vas_36,NBNSYS0000002639,species,,N,Ar,Agrostis,Poaceae,Agrostis gigantea subsp. gigantea,Agrostis gigantea subsp. gigantea Roth,archaeophyte,archaeophyte,archaeophyte,https://database.bsbi.org/object.php?entityid=2cd4p9h.4ma&class=TaxonInstance,
Agrostis stolonifera,Agrostis stolonifera,Agrostis stolonifera,4,28,7,P,2cd4p9h.bwz,,L.,Creeping Bent,,,,confirmed,b,Agrostis stolonifera,Vas_39,NBNSYS0000002640,species,,N,N,Agrostis,Poaceae,Agrostis stolonifera var. marina;Agrostis stolonifera var. calcicola;Agrostis stolonifera var. maritima;Agrostis stolonifera var. stolonifera;Agrostis stolonifera var. palustris,Agrostis stolonifera var. marina (Gray) P.D.Sell;Agrostis stolonifera var. calcicola (Philipson) P.D.Sell;Agrostis stolonifera var. maritima (Lam.) Koch;Agrostis stolonifera var. stolonifera L.;Agrostis stolonifera var. palustris (Huds.) Farw.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.bwz&class=TaxonInstance,
Agrostis vinealis,Agrostis vinealis,Agrostis vinealis,4,28,7,P,2cd4p9h.x8m,,Schreb.,Brown Bent,,,,confirmed,b,Agrostis vinealis,Vas_35.1,NHMSYS0000455693,species,,N,N,Agrostis,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.x8m&class=TaxonInstance,
Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,2,14,7,A,2cd4p9h.ez1,,L.,Silver Hair-grass,,,,confirmed,b,Aira caryophyllea,Vas_41,NBNSYS0000002626,species,,N,N,Aira,Poaceae,Aira caryophyllea subsp. multiculmis;Aira caryophyllea subsp. armoricana;Aira caryophyllea subsp. caryophyllea,Aira caryophyllea subsp. multiculmis (Dumort.) Bonnier & Layens;Aira caryophyllea subsp. armoricana (F.Albers) Kerguélen;Aira caryophyllea subsp. caryophyllea L.,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ez1&class=TaxonInstance,
Aira praecox,Aira praecox,Aira praecox,2,14,7,A,2cd4p9h.f0,,L.,Early Hair-grass,,,,confirmed,b,Aira praecox,Vas_42,NBNSYS0000002625,species,,N,N,Aira,Poaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.f0&class=TaxonInstance,
Ajuga chamaepitys,Ajuga chamaepitys,Ajuga chamaepitys,,,,P,2cd4p9h.yb4,,(L.) Schreb.,Ground-pine,,,,unchecked,b,Ajuga chamaepitys,Vas_43,NHMSYS0000455713,species,,N,?N,Ajuga,Lamiaceae,,,native or alien,native (inferred),alien,https://database.bsbi.org/object.php?entityid=2cd4p9h.yb4&class=TaxonInstance,
Ajuga pyramidalis,Ajuga pyramidalis,Ajuga pyramidalis,4,32,8,P,2cd4p9h.v69,,L.,Pyramidal Bugle,,,,unchecked,b,Ajuga pyramidalis,Vas_45,NBNSYS0000004271,species,,N,N,Ajuga,Lamiaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.v69&class=TaxonInstance,
Ajuga reptans,Ajuga reptans,Ajuga reptans,4,32,8,P,2cd4p9h.ez4,,L.,Bugle,,,,unchecked,b,Ajuga reptans,Vas_46,NBNSYS0000004269,species,,N,N,Ajuga,Lamiaceae,Ajuga reptans 'Atropurpurea';Ajuga reptans 'Burgandy Glow';Ajuga reptans 'Variegata';Ajuga reptans 'Pink Lightning';Ajuga reptans 'Caitlin's Giant';Ajuga reptans f. albiflora,Ajuga reptans 'Atropurpurea';Ajuga reptans 'Burgandy Glow';Ajuga reptans 'Variegata';Ajuga reptans 'Pink Lightning';Ajuga reptans 'Caitlin's Giant';Ajuga reptans f. albiflora,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.ez4&class=TaxonInstance,
Alchemilla acutiloba,Alchemilla acutiloba,Alchemilla acutiloba,,,,P,2cd4p9h.nqq,,Opiz,Starry Lady's-mantle,,,,unchecked,b,Alchemilla acutiloba,Vas_47,NBNSYS0000003378,species,,N,N,Alchemilla,Rosaceae,,,native,native,native,https://database.bsbi.org/object.php?entityid=2cd4p9h.nqq&class=TaxonInstance,
